team,stadium,city,lat,lon
Arsenal,Emirates Stadium,London,51.5549,-0.1084
Aston Villa,Villa Park,Birmingham,52.509,-1.8849
Bournemouth,Vitality Stadium,Bournemouth,50.7353,-1.8383
Brentford,Gtech Community Stadium,London,51.4907,-0.2887
Brighton & Hove Albion,Amex Stadium,Falmer/Brighton,50.8616,-0.0837
Burnley,Turf Moor,Burnley,53.789,-2.23
Chelsea,Stamford Bridge,London,51.4817,-0.191
Crystal Palace,Selhurst Park,London,51.3983,-0.0856
Everton,Goodison Park,Liverpool,53.4388,-2.9663
Fulham,Craven Cottage,London,51.4749,-0.2216
Leeds United,Elland Road,Leeds,53.7778,-1.5721
Liverpool,Anfield,Liverpool,53.4308,-2.9608
Manchester City,Etihad Stadium,Manchester,53.4831,-2.2004
Manchester United,Old Trafford,Manchester,53.4631,-2.2913
Newcastle United,St James' Park,Newcastle upon Tyne,54.9756,-1.6216
Nottingham Forest,City Ground,Nottingham,52.9399,-1.1327
Sunderland,Stadium of Light,Sunderland,54.9145,-1.3882
Tottenham Hotspur,Tottenham Hotspur Stadium,London,51.6033,-0.0657
West Ham United,London Stadium,London,51.5386,-0.0165
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,52.5903,-2.1304
